,Autocracy Delta NL,Autocracy Delta GDP,Democracy Delta NL,Democracy Delta GDP
0,-28.228582164383567,0.8922012009178081,-28.3773546993865,2.2256881209815953
1,-17.616388694444442,2.9424204713888895,-15.333464382716052,2.948684369388888
2,-12.854745767123287,3.8706515124109595,-10.094580084567902,3.2954441515925916
3,-8.810850659722222,2.7043673737083336,-6.031740448765432,3.200058154938271
4,-5.926342347945206,3.897235043287671,-3.1109610586419754,2.273222714604938
5,-3.590257236111111,4.894417127777777,-1.0125872158518519,2.884601611246913
6,-1.490421830138889,3.7375158724027786,0.9247635097504938,3.001740954765431
7,0.6225025872876712,3.90795859369863,2.8331010308641975,2.824662047950617
8,2.2085402,4.328530099055552,5.057561962345679,3.194810456537034
9,4.121350053424657,4.30135703910959,7.256802558641977,3.896454412780864
10,6.1250542125,4.522617558611114,9.841281405555556,4.307417746407408
11,8.078254408219179,4.949274972013699,13.32795033333333,4.438925838055555
12,10.011824806944444,6.4269147988888875,18.968113376543208,3.835126235802468
13,11.812048888888889,4.934738338333334,30.037407135802475,3.987456315432098
14,14.956752219178087,4.607168596260273,64.7630106380368,4.175246506319019
15,19.134788555555556,6.26217377138889,,
16,24.80773587671233,5.421312245479452,,
17,40.035943611111115,4.970325005,,
18,75.09807519178084,4.803895506164379,,
